Description,Breakdown,Occupied housing units,Percent occupied housing units,Owner-occupied housing units,Percent owner-occupied housing units,Renter-occupied housing units,Percent renter-occupied housing units
HOUSEHOLD INCOME in 2023,"Less than $5,000","4,465,431",3.4%,"1,864,150",2.2%,"2,601,281",5.7%
HOUSEHOLD INCOME in 2023,"$5,000 to $9,999","2,498,142",1.9%,"980,712",1.1%,"1,517,430",3.3%
HOUSEHOLD INCOME in 2023,"$10,000 to $14,999","4,578,695",3.5%,"1,733,976",2.0%,"2,844,719",6.2%
HOUSEHOLD INCOME in 2023,"$15,000 to $19,999","3,911,930",3.0%,"1,781,757",2.1%,"2,130,173",4.7%
HOUSEHOLD INCOME in 2023,"$20,000 to $24,999","4,523,389",3.4%,"2,179,226",2.5%,"2,344,163",5.1%
HOUSEHOLD INCOME in 2023,"$25,000 to $34,999","8,871,357",6.8%,"4,505,343",5.3%,"4,366,014",9.6%
HOUSEHOLD INCOME in 2023,"$35,000 to $49,999","13,573,171",10.3%,"7,422,715",8.7%,"6,150,456",13.5%
HOUSEHOLD INCOME in 2023,"$50,000 to $74,999","21,131,265",16.1%,"12,782,504",14.9%,"8,348,761",18.3%
HOUSEHOLD INCOME in 2023,"$75,000 to $99,999","16,682,685",12.7%,"11,269,498",13.2%,"5,413,187",11.9%
HOUSEHOLD INCOME in 2023,"$100,000 to $149,999","22,884,514",17.4%,"17,306,979",20.2%,"5,577,535",12.2%
HOUSEHOLD INCOME in 2023,"$150,000 or more","28,211,781",21.5%,"23,859,009",27.8%,"4,352,772",9.5%
HOUSEHOLD INCOME in 2023,Median household income (dollars),"77,719","77,719","95,915","95,915","51,719","51,719"
MONTHLY HOUSING COSTS,Less than $300,"4,920,572",3.7%,"3,820,959",4.5%,"1,099,613",2.4%
MONTHLY HOUSING COSTS,$300 to $499,"10,153,518",7.7%,"8,452,914",9.9%,"1,700,604",3.7%
MONTHLY HOUSING COSTS,$500 to $799,"17,255,877",13.1%,"12,868,469",15.0%,"4,387,408",9.6%
MONTHLY HOUSING COSTS,$800 to $999,"12,053,036",9.2%,"7,333,183",8.6%,"4,719,853",10.3%
MONTHLY HOUSING COSTS,"$1,000 to $1,499","27,711,308",21.1%,"15,714,117",18.3%,"11,997,191",26.3%
MONTHLY HOUSING COSTS,"$1,500 to $1,999","21,674,352",16.5%,"12,431,360",14.5%,"9,242,992",20.2%
MONTHLY HOUSING COSTS,"$2,000 to $2,499","13,777,095",10.5%,"8,635,677",10.1%,"5,141,418",11.3%
MONTHLY HOUSING COSTS,"$2,500 to $2,999","7,987,925",6.1%,"5,648,808",6.6%,"2,339,117",5.1%
MONTHLY HOUSING COSTS,"$3,000 or more","13,672,016",10.4%,"10,780,382",12.6%,"2,891,634",6.3%
MONTHLY HOUSING COSTS,No cash rent,"2,126,661",1.6%,(X),(X),"2,126,661",4.7%
MONTHLY HOUSING COSTS,Median (dollars),"1,358","1,358","1,320","1,320","1,406","1,406"
MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,"Less than $20,000","13,063,107",9.9%,"5,594,142",6.5%,"7,468,965",16.4%
MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Less than 20 percent,"499,158",0.4%,"376,802",0.4%,"122,356",0.3%
