observation_date,RCMFLOLTVPCT50
2012-07-01,75
2012-10-01,74
2013-01-01,73
2013-04-01,74
2013-07-01,75
2013-10-01,76
2014-01-01,77
2014-04-01,79
2014-07-01,78
2014-10-01,76
2015-01-01,75
2015-04-01,75
2015-07-01,78
2015-10-01,75
2016-01-01,75
2016-04-01,77
2016-07-01,77
2016-10-01,75
2017-01-01,75
2017-04-01,80
2017-07-01,80
2017-10-01,79
2018-01-01,79
2018-04-01,80
2018-07-01,80
2018-10-01,80
2019-01-01,80
2019-04-01,80
2019-07-01,79
2019-10-01,76
2020-01-01,75
2020-04-01,73
2020-07-01,73
2020-10-01,71
2021-01-01,69
2021-04-01,70
2021-07-01,70
2021-10-01,68
2022-01-01,69
2022-04-01,75
2022-07-01,80
2022-10-01,79
2023-01-01,79
2023-04-01,79
2023-07-01,79
2023-10-01,78
2024-01-01,76
2024-04-01,79
2024-07-01,78
