SizeRank,RegionName,StateName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
0,United States,,1464.2269395946307,1469.6878937877648,1474.096650142404,1471.587458382891,1466.84856394331,1462.7416681630978,1463.1090707994852,1463.1783140280525,1463.8878726796745,1467.42866096501,1473.3049474214918,1480.890126520246,1490.194802087217,1500.3877205492745,1512.3489933625626,1528.449078401017,1549.3467541714244,1573.376695664873,1598.1837167040408,1624.8778136386638,1651.2964351935586,1673.9572022397929,1693.2583976791602,1710.4402528890887,1724.96998916722,1738.8985029583332,1750.3848073544173,1766.0161047864267,1780.480471519913,1795.9299230905983,1807.580355981817,1816.10217365626,1822.0066758790513,1826.434083153431,1830.8330578362427,1836.3832140314987,1841.7706860527585,1847.025763101379,1854.1997535194992,1858.8625466552012,1863.6458679085129,1865.158137575048,1868.9651145647413,1873.4348881110077,1878.5748474403597,1884.638567564621,1889.831956637972,1895.8581191440885,1901.8917452482992,1909.018561177728,1915.0672172047523,1919.7627641326171,1923.5807279943244,1928.436568855646,1932.8968471651028,1937.7745924784656,1943.2483858352855,1949.206044363007,1956.1848487530085,1961.997710639613
1,"New York, NY",NY,2516.045296030073,2524.703247804099,,,,,,,,2295.8807383948833,2283.314931958159,2282.9318212243247,2285.698192231617,2293.1926571985496,2304.1616231306916,2322.4683271581553,2351.6125276494595,2389.3606299923163,2435.4117338912315,2491.3333048310897,2548.582299321291,2599.882624186823,2645.0806692895426,2683.197593054057,2714.8092424390256,2740.9009790828068,2764.908917138807,2791.296919523247,2821.9121128514576,2854.353003701876,2885.36275009119,2909.8218910069386,2926.294770867582,2933.966493589745,2936.9044445043846,2938.74530338934,2944.613960182264,2952.851120768339,2964.570499283075,2979.195784615556,2990.8066320632415,2999.2653521924576,3006.748670500023,3014.9098171978553,3027.7750877905946,3038.0903611033973,3045.3909556119406,3053.614149559681,3065.093494190681,3080.5756983341876,3093.3117143447016,3100.7870445870017,3105.982741262626,3110.8472433653237,3115.4022942975225,3120.917731360813,3126.6062594351383,3139.6525954779004,3158.1983334309107,3177.477081711913
2,"Los Angeles, CA",CA,2322.277365756034,2329.271376606042,2324.786443326421,,2305.400432364238,2296.321308785739,2290.960466039171,2284.184215309209,2282.2194636834847,2286.3790159453447,2293.95148424998,2299.7936906696286,2309.561073984892,2319.3872852860422,2332.723625036152,2346.7172838480874,2367.792287779454,2398.377724209337,2436.286099958352,2481.14037111392,2520.5834436940067,2552.0184419832262,2576.8909085189407,2603.99606663386,2627.272949408278,2652.2499647178925,2673.301700524454,2702.3234690065865,2725.345029245077,2744.1670005333153,2755.1562852929464,2762.4975811657378,2768.4851932964702,2771.665354215016,2777.321282771155,2782.409358584642,2783.8943304296,2787.2395403679743,2794.2048083224113,2801.233782601007,2805.3762225711625,2807.6091910252976,2812.0582663636974,2819.3892683877643,2824.5446662783083,2832.5018433872506,2835.9577989363797,2844.286553401316,2847.5829470189656,2855.7421676804324,2862.2478039939156,2864.6922075550087,2870.7247683620526,2878.09133279846,2885.934832692496,2892.00868659903,2901.6704258818695,2912.2527302807644,2926.521317776394,2937.0219115750024
3,"Chicago, IL",IL,1571.1067057366367,1575.202561991662,1579.525117062913,1571.3910958082015,1561.7664609692536,1553.5863059448636,1550.282766700654,1547.8014406490486,1543.223044442247,1536.8859496332034,1532.6830874080777,1532.49836753544,1532.9097810051944,1537.6826909528372,1544.22305121442,1559.8401484459068,1576.022781898197,1593.8052979374097,1608.758394393731,1623.7127412078437,1640.112251352892,1654.891352376538,1669.67914564126,1683.0023707784685,1696.151629318243,1705.3837435430394,1715.4671004356244,1727.4338043650716,1741.5696053824322,1753.0428272927002,1765.3399869798866,1775.4030424352618,1786.1158538813263,1796.9503695989222,1806.0582854551176,1814.2893786604784,1821.80295099747,1830.6511288870004,1840.7150521815151,1847.0892839433068,1855.4485847445392,1863.9998840464984,1873.1210001172865,1882.8557002154569,1889.8739244588992,1895.6911511791673,1900.4092450338708,1909.6013666727947,1919.9914129805588,1930.1145824271127,1938.5505137580449,1947.2132745592096,1953.243441476831,1960.256958582497,1967.0888516023065,1974.758019227216,1984.1301422613917,1994.9271151005028,2007.4668012858788,2017.1437268310465
4,"Dallas, TX",TX,1337.337424123899,1340.742859771471,1347.463883188997,1345.3606715054214,1341.4749972255845,1336.5414200290572,1336.2198161519505,1337.9046245248578,1342.8416578982335,1350.5453093198637,1358.1443935302473,1367.7083528444286,1376.6856932584717,1387.6908313241113,1397.0158745448389,1413.0634058719838,1432.6262112358222,1457.3505432378445,1483.4589934525727,1511.32435568148,1537.5637868016563,1559.587406735612,1580.052997945268,1598.4123426378228,1614.024696355392,1626.4895744291662,1636.021531813337,1651.4048314459865,1666.799108423694,1686.3180016199062,1697.8733075024934,1702.4133928373417,1701.8425127969276,1698.0183108117806,1697.3683416159358,1697.8911935354363,1701.8469851860243,1706.0879044634933,1712.9967749357606,1712.576010268398,1712.0855279542084,1706.7145244750084,1706.2348764223816,1705.141809941519,1705.6556733257105,1707.8044647766524,1709.992608791419,1710.9223549768044,1711.008425184615,1711.3433408028145,1710.8241403821553,1711.0227839130885,1710.0717746717464,1709.2952854866842,1707.8718929265876,1709.379100752169,1711.8908174512774,1715.0121183933306,1716.460000547612,1718.184725477495
5,"Houston, TX",TX,1343.4956687220322,1349.3233074551556,1355.6425647717444,1352.04272842803,1342.920647350831,1334.0667062937796,1333.7376667182834,1336.5928795281952,1340.4141937473985,1346.1784518490103,1352.122519071664,1356.6384550430228,1360.8127107911894,1362.5945519280417,1368.4576045765675,1379.792728138951,1398.081387456005,1420.0442407872806,1439.2459508007298,1459.119934030248,1475.859112550856,1488.8949231508202,1499.829201131232,1509.4724325187294,1518.8543077579425,1528.412727672289,1535.6592256615838,1546.0150208944106,1552.9520485140663,1561.6776069026112,1567.904130926676,1572.1183622317992,1574.2254253758356,1575.284591366286,1577.121539030636,1581.4026586830585,1587.4985730911667,1593.413980080942,1601.6859117297404,1603.7699764192014,1607.2218085854263,1607.238094225872,1609.5389911414934,1610.2846057320878,1610.735713809074,1612.289880467901,1615.4519537360115,1620.4023350057928,1626.392444021321,1629.2002299345877,1630.3542602297534,1633.4114387882717,1635.566770306439,1638.5182981128278,1641.218688388713,1645.7158651278455,1651.945903891488,1658.3580536279649,1663.363607102136,1665.9100266561795
6,"Washington, DC",VA,1895.2476538166843,1901.0554393502332,1909.0217246963275,1903.2052970183804,1893.2164622067132,1878.8480855394332,1869.69373252256,1862.923381968677,1855.163096274136,1849.6545148761795,1844.189080508495,1842.9958746471104,1847.1814218091547,1852.826719588109,1857.1516564544231,1866.2921742185183,1884.488093976935,1911.3967143803025,1937.5181542349908,1963.2990437908873,1986.717902905511,2010.085250848122,2028.8827864670568,2043.6075671366152,2050.609119894773,2058.3504149474,2067.2879353934677,2082.753026514388,2096.9481395516054,2111.055268089195,2123.4126529955174,2131.1614842835565,2137.2773321585746,2136.9184698631443,2138.7062389210737,2142.2919070729513,2148.953267587603,2157.4564907458475,2168.4613446837743,2174.7442050799855,2180.830351310499,2181.5710207601724,2187.085147818342,2194.8259503494323,2204.8026840712578,2217.880463739986,2228.3971825097974,2238.245994796836,2246.1390556024044,2256.7126555568525,2264.9699895805265,2272.8457789398667,2279.760549200239,2289.3403935986557,2296.41614781018,2304.3421513530266,2312.1208026739446,2320.750385819434,2331.355678770303,2342.327930924397
7,"Philadelphia, PA",PA,1438.318828881956,1444.7153516697977,1449.5619202868695,1449.6224007232065,1446.404016029218,1444.3953533780686,1447.932901268631,1450.0552775858937,1454.963293253868,1459.045844971222,1464.702803439402,1469.3539628782528,1475.5881052881498,1480.916055780183,1486.4385472420458,1498.135694299167,1515.6833995655302,1533.2366249140498,1548.744441547925,1565.990052445531,1579.404357560108,1594.8608006225545,1608.256622331122,1627.880608974504,1640.1247294559053,1651.1994614079254,1658.1817101070017,1668.544989987976,1677.9144600780533,1689.3939795380568,1698.4523658407236,1704.7380873451168,1708.461089035047,1709.4179045396324,1712.749682915642,1713.4495971222705,1719.882533505967,1722.4939493486509,1730.8534353529956,1735.9424524020155,1742.786180568046,1744.32129188666,1748.8922136222152,1754.2540102337553,1764.3931479109688,1771.9308177176497,1778.424680481185,1780.695039270542,1785.0337359777493,1793.4311704892789,1799.3598823552804,1804.8337184002864,1808.2195803009097,1814.713653131077,1820.3964449547143,1826.534737963756,1830.9853416925248,1838.4320750364263,1845.9209292582557,1856.7300506245297
8,"Miami, FL",FL,1733.4002207813055,1740.7831687612677,1742.0799947398953,1738.3649482118058,1731.352517605615,1729.5137596639695,1729.937653627053,1732.0702226153946,1736.2887922181528,1749.147947610101,1765.5578447383216,1781.362525285689,1799.859067104955,1825.59724607002,1855.5633366538652,1890.4736241434448,1930.7205761512785,1979.1676088694371,2038.3819086640187,2099.9624351138505,2157.51821353015,2203.2690475633276,2247.385603267453,2295.5374669910248,2342.6774056094155,2379.907581697511,2416.67403487245,2455.649730265285,2493.78038451274,2518.891777139478,2533.241933688633,2539.529281608502,2546.6971496028873,2552.173001673623,2560.423760277719,2569.267692245221,2575.2070851800227,2579.8051605367236,2582.155663843349,2584.8370572268213,2590.0239204327663,2594.663889242402,2597.5147814365714,2601.814861708509,2606.2262745171747,2617.5365015891184,2624.439332486468,2626.3868707246033,2629.2726186088134,2636.8025503197073,2644.0544890964898,2647.7098154521914,2647.5840362571853,2651.0368819923365,2657.3252115790674,2664.8379150833684,2671.773043834669,2675.6393173545553,2680.6734797979316,2687.2462141696515
9,"Atlanta, GA",GA,1363.5977443284894,1369.0171160762416,1376.2628732881142,1377.6634818454888,1378.239601684956,1379.9356598877227,1387.7902607807812,1395.9119180905816,1405.4296566792852,1416.821724938473,1430.873895536164,1445.5389488046824,1462.5112548351551,1480.4675619685004,1498.0054541951365,1519.7108514363777,1544.6362523485284,1575.9730815304,1606.9364160327618,1641.5675236133818,1671.8427387120282,1698.4198829456684,1717.5056774762693,1731.3722816874133,1741.029947393656,1746.9776201425152,1756.2647947214507,1767.2955072353136,1781.3220299051904,1794.5480456292075,1807.5132931235955,1814.2114673892236,1816.704854135574,1816.2297037351773,1818.444615895718,1824.9457128632616,1827.424265503539,1830.0198999787071,1835.934310272802,1839.6444321938336,1839.656932448064,1833.363121328945,1830.0619737170753,1828.7104701151457,1827.0700255637232,1826.67830557383,1825.8661807563828,1827.9711726494472,1833.527688930979,1839.3924539729735,1840.549555840127,1841.0015416862925,1841.562931841087,1845.4365635487957,1846.8907184795132,1848.9063430655804,1853.8577820882372,1859.745586004023,1865.8766704677312,1868.4913331461344
