SizeRank,RegionName,StateName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
0,United States,,244579.0,246671.0,249008.0,250546.0,248028.0,246184.0,249246.0,257182.0,266005.0,272040.0,276303.0,277949.0,278841.0,280879.0,284143.0,290350.0,295050.0,299768.0,301810.0,303952.0,306194.0,308834.0,313046.0,314854.0,315864.0,318155.0,324093.0,333028.0,339248.0,341080.0,335843.0,329927.0,325912.0,324814.0,321301.0,316725.0,313128.0,316393.0,321267.0,326641.0,330445.0,333561.0,336411.0,336830.0,336546.0,335470.0,333159.0,330950.0,331777.0,336410.0,342355.0,345498.0,347577.0,349899.0,351265.0,351998.0,350904.0,352764.0,353629.0,356642.0
1,"New York, NY",NY,415833.0,418276.0,420342.0,424813.0,427196.0,424750.0,418091.0,418985.0,429254.0,444984.0,460641.0,468371.0,472061.0,475446.0,480344.0,487407.0,491118.0,496327.0,500635.0,504022.0,506840.0,508572.0,509544.0,510006.0,509361.0,512265.0,517410.0,525076.0,532130.0,539579.0,545740.0,546092.0,541482.0,536887.0,532764.0,526993.0,526479.0,524574.0,528117.0,531339.0,538759.0,546144.0,555487.0,565687.0,570957.0,570665.0,568541.0,573050.0,579190.0,582848.0,585107.0,589584.0,599714.0,610722.0,623178.0,625637.0,625748.0,626065.0,626044.0,627593.0
2,"Los Angeles, CA",CA,653510.0,659414.0,663224.0,656920.0,649123.0,646810.0,661223.0,685729.0,705946.0,720207.0,,729059.0,731395.0,739301.0,750824.0,768901.0,787249.0,801020.0,807173.0,809830.0,812722.0,817410.0,823150.0,834329.0,841575.0,851653.0,861073.0,878361.0,890306.0,893329.0,880350.0,865931.0,852613.0,847889.0,840333.0,830156.0,824897.0,826878.0,833840.0,837933.0,841197.0,849016.0,861395.0,874475.0,881392.0,887636.0,894909.0,896038.0,894046.0,900039.0,908920.0,925529.0,935267.0,944599.0,944468.0,934572.0,926244.0,928455.0,930585.0,942947.0
3,"Chicago, IL",IL,229727.0,231814.0,237026.0,241818.0,239844.0,233679.0,232864.0,240181.0,250508.0,256628.0,258532.0,259604.0,259200.0,260818.0,261992.0,263839.0,265754.0,266584.0,266160.0,264713.0,264609.0,266987.0,268897.0,270760.0,271987.0,274759.0,274692.0,277311.0,279698.0,284029.0,281751.0,277167.0,274012.0,273008.0,273568.0,271795.0,270872.0,272174.0,275933.0,279226.0,281780.0,285862.0,290293.0,294027.0,295331.0,294350.0,293932.0,292896.0,295492.0,297628.0,299913.0,302223.0,304972.0,309608.0,312988.0,313615.0,315210.0,316140.0,319590.0,321089.0
4,"Dallas, TX",TX,266540.0,267179.0,267079.0,269787.0,268762.0,271368.0,275477.0,283481.0,288488.0,292274.0,296870.0,298573.0,298022.0,302829.0,309287.0,318450.0,327780.0,336899.0,343375.0,344757.0,345830.0,348688.0,352248.0,355068.0,358670.0,364626.0,371038.0,384521.0,397667.0,407265.0,406053.0,399882.0,393087.0,388172.0,383080.0,374566.0,368479.0,367763.0,369855.0,373031.0,375579.0,381199.0,385862.0,387345.0,385690.0,381840.0,381692.0,379828.0,381550.0,382493.0,386516.0,389389.0,391575.0,390275.0,388406.0,386689.0,385786.0,385673.0,388252.0,390443.0
5,"Houston, TX",TX,232178.0,234530.0,233481.0,233975.0,231820.0,234069.0,240089.0,247606.0,250549.0,252453.0,257386.0,260631.0,261794.0,264534.0,270550.0,278265.0,284509.0,289652.0,292075.0,293143.0,291511.0,292386.0,296997.0,301245.0,303826.0,308586.0,311128.0,317732.0,322976.0,328377.0,329082.0,324437.0,321809.0,317993.0,316306.0,309721.0,307781.0,306884.0,308785.0,311013.0,313624.0,316919.0,,,320770.0,320612.0,320699.0,318693.0,318927.0,322502.0,325008.0,329165.0,329752.0,333090.0,333250.0,330377.0,330631.0,331128.0,333383.0,332816.0
6,"Washington, DC",VA,402394.0,406059.0,412389.0,418232.0,414520.0,406869.0,410497.0,421237.0,435013.0,440714.0,443957.0,442151.0,439174.0,436022.0,440969.0,447955.0,457402.0,461076.0,462067.0,459873.0,458640.0,462966.0,465133.0,465631.0,460171.0,461968.0,471131.0,486658.0,498744.0,500509.0,493371.0,486199.0,481768.0,482216.0,480035.0,473176.0,468311.0,474121.0,481507.0,492335.0,498249.0,507583.0,509279.0,509303.0,506073.0,506735.0,505073.0,506870.0,504417.0,512004.0,523030.0,537127.0,543917.0,545997.0,546173.0,544551.0,546369.0,548029.0,550575.0,546474.0
7,"Philadelphia, PA",PA,234023.0,235464.0,238778.0,246020.0,243780.0,238215.0,235034.0,242227.0,254132.0,259998.0,263672.0,265628.0,266116.0,266769.0,266166.0,265890.0,266106.0,268442.0,272773.0,278584.0,279432.0,280481.0,280908.0,281262.0,279731.0,277399.0,277611.0,280842.0,287405.0,294938.0,297163.0,298146.0,295907.0,296166.0,295593.0,295361.0,294800.0,294513.0,296414.0,297653.0,301433.0,304571.0,310005.0,313718.0,314490.0,317296.0,318380.0,320269.0,319318.0,320628.0,322632.0,325829.0,328950.0,332691.0,334665.0,338664.0,338411.0,341332.0,344830.0,347693.0
8,"Miami, FL",FL,278141.0,280374.0,285649.0,290278.0,291249.0,290325.0,293275.0,300587.0,307150.0,311855.0,313816.0,317944.0,321760.0,326879.0,330513.0,333872.0,336244.0,339636.0,342878.0,345895.0,347936.0,350066.0,354658.0,360737.0,367508.0,376007.0,384016.0,390385.0,395641.0,398667.0,398923.0,397098.0,397576.0,401171.0,403137.0,400841.0,402005.0,404786.0,413245.0,418071.0,423103.0,426944.0,428921.0,431111.0,435933.0,441133.0,441797.0,441619.0,441608.0,452601.0,463501.0,470966.0,472263.0,473963.0,473487.0,470496.0,464931.0,469511.0,475013.0,483001.0
9,"Atlanta, GA",GA,231134.0,234614.0,237951.0,242305.0,239743.0,237923.0,238354.0,247628.0,255558.0,261146.0,263934.0,265370.0,267370.0,269537.0,272949.0,277153.0,281860.0,288961.0,293934.0,299820.0,305545.0,314659.0,322032.0,326267.0,326194.0,328191.0,331630.0,337526.0,342580.0,346579.0,346540.0,343632.0,340476.0,339221.0,338655.0,336604.0,334078.0,335040.0,337777.0,341365.0,343343.0,348060.0,351336.0,355314.0,355637.0,356159.0,353851.0,350698.0,348691.0,352738.0,357559.0,360830.0,361404.0,364485.0,366083.0,365458.0,363899.0,364300.0,364989.0,367771.0
