Income Group,Owner Occupied,Renter Occupied,Total Households,Homeownership Rate (%)
"        Less than $5,000",1864150,2601281,4465431,41.7
"        $5,000 to $9,999",980712,1517430,2498142,39.3
"        $10,000 to $14,999",1733976,2844719,4578695,37.9
"        $15,000 to $19,999",1781757,2130173,3911930,45.5
"        $20,000 to $24,999",2179226,2344163,4523389,48.2
"        $25,000 to $34,999",4505343,4366014,8871357,50.8
"        $35,000 to $49,999",7422715,6150456,13573171,54.7
"        $50,000 to $74,999",12782504,8348761,21131265,60.5
"        $75,000 to $99,999",11269498,5413187,16682685,67.6
"        $100,000 to $149,999",17306979,5577535,22884514,75.6
"        $150,000 or more",23859009,4352772,28211781,84.6
