State,Moved,Population 1 year and over,1 to 4 years,5 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Median age (years)
Alabama,Total,5058397,237948,841627,479855,644517,649252,620078,653001,554008,378111,40.1
Alabama,Moved; within same county,5.7,9.8,5.7,12.2,8.9,4.7,4.5,3.1,2,2.5,26.8
Alabama,"Moved; from different county, same state",3,2.4,2.3,8.9,5.2,2.9,2.2,1.6,0.8,0.7,26.3
Alabama,Moved; from different  state,2.4,2.9,1.9,6.8,2.9,2.3,2,1.3,1.1,0.9,26.7
Alabama,Moved; from abroad,0.4,0.2,0.3,0.6,0.7,0.4,0.3,0.2,0.3,0.2,33.7
Alaska,Total,725129,36934,129155,65148,111850,110131,82182,86731,66638,36360,36.8
Alaska,Moved; within same county,7.7,7.6,7.3,14.6,13.7,7.4,5.8,3.3,2.5,3.1,28.9
Alaska,"Moved; from different county, same state",1.7,1.8,1.3,2.6,2,1.9,1.6,1.5,1.4,1.4,33.6
Alaska,Moved; from different  state,4.2,2.9,3.8,10.9,7.1,4.2,3.3,1.9,0.7,0.5,26.9
Alaska,Moved; from abroad,0.7,0,1.1,1.4,0.6,0.9,1.2,0.2,0,0.1,28.3
Arizona,Total,7362464,322262,1188937,701011,1026988,942328,862865,880342,808232,629499,39.6
Arizona,Moved; within same county,8.1,10,7,15.3,13.8,8.2,6,5.2,3.7,4.2,29.7
Arizona,"Moved; from different county, same state",1.6,1.4,1,4.7,2.7,1.4,0.8,1,0.7,0.7,27.8
Arizona,Moved; from different  state,3.5,2.5,2.4,7.3,4.9,2.9,3,2.9,2.9,2.6,32
Arizona,Moved; from abroad,0.8,1.1,0.8,1.1,1.3,0.8,0.4,0.7,0.5,0.5,31.3
Arkansas,Total,3034111,143287,524080,288490,393194,399179,359350,375625,321230,229676,39.3
Arkansas,Moved; within same county,6,9.5,5.3,12.1,9.8,6.1,4.3,3.4,2.7,3.2,28.7
Arkansas,"Moved; from different county, same state",3.4,3.9,2.3,8.2,5.5,3.4,2.2,2.5,1.8,1.5,29
Arkansas,Moved; from different  state,2.4,2.3,2,5.8,3.4,2,2,1.8,1.4,1.3,29
Arkansas,Moved; from abroad,0.3,0.3,0.2,0.5,0.4,0.4,0.2,0.2,0.1,0.1,28
California,Total,38552167,1673794,6350509,3558215,5670629,5460310,4846002,4680789,3662353,2649566,38.6
California,Moved; within same county,6.1,7.9,5.4,9.9,10.6,6.6,4.5,3.5,2.5,3,30.4
California,"Moved; from different county, same state",2.5,2.7,1.5,6.4,4.6,2.5,1.6,1.4,1.1,1.2,29.4
California,Moved; from different  state,1.1,1,0.6,2.8,2.3,1,0.7,0.5,0.5,0.5,28.8
California,Moved; from abroad,0.8,0.9,0.7,1.5,1.3,0.9,0.5,0.5,0.5,0.4,30.8
Colorado,Total,5819109,245274,906905,531807,928003,874611,713472,674495,579146,365396,38.2
Colorado,Moved; within same county,6.4,8.1,5.7,13.8,11.4,5.8,3.8,3.3,2.1,2.9,28.3
Colorado,"Moved; from different county, same state",4.7,6.3,2.6,11.3,8.8,4.6,3.1,2.4,1.5,1.7,29
Colorado,Moved; from different  state,4,4.1,2.5,10.1,7.7,3.2,2.2,2.3,1.6,1.8,28.6
Colorado,Moved; from abroad,0.6,1.1,0.7,1.1,1.1,0.6,0.2,0.3,0.1,0.2,28.6
Connecticut,Total,3576682,140067,542063,334630,450467,469414,441639,508371,394923,295108,41.9
Connecticut,Moved; within same county,5.6,6.2,5.6,7.5,9.2,6.8,4.7,3.6,3,3.9,33.4
Connecticut,"Moved; from different county, same state",1.8,2.3,0.8,4,4.2,2.1,0.9,1.4,0.8,0.7,31.2
Connecticut,Moved; from different  state,2.7,3.5,1.6,6.2,5.7,2.6,1.5,1.3,1.3,1.3,29.4
Connecticut,Moved; from abroad,0.8,0.9,0.6,1.9,1.4,1.1,0.5,0.2,0.5,0.2,28.1
Delaware,Total,1022638,45146,157527,88538,124961,128689,115314,142506,132870,87087,42.4
Delaware,Moved; within same county,5.2,9.3,3.6,11.6,9.8,4.7,4.9,3.1,1.6,2.6,29.5
Delaware,"Moved; from different county, same state",1.5,1.1,2,2.5,2.8,2,1.4,0.7,0.7,0.1,31.3
Delaware,Moved; from different  state,3.8,5.2,3.4,8.4,4.5,4.2,2.5,3,3,1.8,31.4
Delaware,Moved; from abroad,0.7,0.3,1.5,0.5,0.9,0.7,0.5,0.4,0.2,0.3,31.6
District of Columbia,Total,670127,29667,88014,69527,144710,114104,71869,63240,51071,37925,35.2
District of Columbia,Moved; within same county,10.6,11,11.9,12.6,16,11.6,5.7,6.1,5.2,4,29.6
District of Columbia,"Moved; from different county, same state",0,0,0,0,0,0,0,0,0,0,
District of Columbia,Moved; from different  state,8.5,3.5,3.8,31.4,13.2,4.7,3.2,3.5,2.3,1.6,25.9
District of Columbia,Moved; from abroad,1.9,0.9,1.4,4.1,2.6,2.1,1.3,1.5,0.3,0.1,30
Florida,Total,22395466,907010,3256746,1809840,2814633,2901598,2760526,3027331,2681522,2236260,43.2
Florida,Moved; within same county,6.3,8.8,6.5,10.2,10.3,7,5.3,3.9,3.5,3.5,32.5
Florida,"Moved; from different county, same state",3.2,3.1,2.5,8,5.4,3.5,2.4,2,1.5,1.5,31.3
Florida,Moved; from different  state,2.8,3.1,2.1,5,4.6,3,2.1,2.6,2.3,1.6,35.4
Florida,Moved; from abroad,1.4,1.3,1.3,2.3,2.2,1.7,1.1,0.9,0.7,0.6,33.7
Georgia,Total,10909651,502174,1912598,1046760,1516617,1486916,1406709,1338627,1031064,668186,38.2
Georgia,Moved; within same county,4.9,6,4.7,8.8,8,5.1,3.7,2.6,2.5,2.5,29.3
Georgia,"Moved; from different county, same state",4.2,4.6,2.9,9.5,8,4,3,2.3,1.5,1.8,28.5
Georgia,Moved; from different  state,2.8,3.6,2.1,6,4.9,2.8,1.7,1.9,1.5,1.2,29.2
Georgia,Moved; from abroad,0.6,0.7,0.5,0.8,0.9,0.9,0.3,0.3,0.3,0.3,31.5
Hawaii,Total,1420012,62294,216467,116354,185753,192516,167524,175752,166206,137146,41.8
Hawaii,Moved; within same county,6.3,7.8,5.7,10.2,13,7.3,4.3,3.3,2.7,3.1,31.5
Hawaii,"Moved; from different county, same state",0.6,0.5,0.5,0.9,0.5,0.6,0.8,0.4,0.3,0.6,39.9
Hawaii,Moved; from different  state,4.1,5.3,3,11.7,7.5,4.5,2.7,2.4,1.2,1.2,28.4
Hawaii,Moved; from abroad,1,1.3,0.6,2.4,1.4,1.2,1,0.9,0.1,0.4,33.8
Idaho,Total,1945004,91186,355483,192631,254318,258809,224893,225425,207695,134564,38.2
Idaho,Moved; within same county,6.7,7.4,5.8,15.4,11.6,6,4.5,3.5,2.4,3.2,26.7
Idaho,"Moved; from different county, same state",2.8,3.8,1.9,9.1,4.7,2.3,1.5,1.3,0.9,1.1,25
Idaho,Moved; from different  state,4.2,4.7,3.2,9.2,6.5,4,2,3.3,3.2,2,29.1
Idaho,Moved; from abroad,0.5,0.6,0.5,1.2,0.8,0.3,0.3,0.4,0.2,0.2,25.2
Illinois,Total,12427191,538528,2040601,1137066,1682224,1678404,1554808,1589730,1295604,910226,39.9
Illinois,Moved; within same county,6.1,7.6,5,10.7,11,6.2,4.8,3.7,2.8,4,30.6
Illinois,"Moved; from different county, same state",2.3,2.1,1.2,6.7,4.2,2.2,1.5,1.1,1,1,28.3
Illinois,Moved; from different  state,1.6,1.6,0.8,4.7,3.6,1.5,0.8,0.9,0.6,0.8,27.9
Illinois,Moved; from abroad,0.8,0.8,0.9,1.7,1.2,0.8,0.5,0.4,0.3,0.3,28.1
Indiana,Total,6783874,323233,1179348,666323,892860,878779,818503,843260,704321,477247,38.7
Indiana,Moved; within same county,6.2,7.9,6,12.6,9.4,6.3,4,3.3,3,3.9,28
Indiana,"Moved; from different county, same state",3.6,4.2,2.4,10.9,6.3,2.8,2.7,1.7,1.2,1.6,26.1
Indiana,Moved; from different  state,2.2,2.4,1.5,6.4,3.5,2.1,1.2,1.4,0.9,1.2,26.8
Indiana,Moved; from abroad,0.4,0.4,0.3,1.2,0.8,0.4,0.3,0.2,0.2,0.2,27.6
Iowa,Total,3170553,145612,543484,315032,398626,410413,364366,398132,345223,249665,39.6
Iowa,Moved; within same county,6.2,6.9,5.5,16.2,8.8,6,3.5,3.1,2.1,5.5,26.7
Iowa,"Moved; from different county, same state",3.4,3.2,1.7,12.5,5.8,2.8,1.6,1.6,1.1,2.1,25.4
Iowa,Moved; from different  state,2.3,2.2,1.3,7.7,3.3,2,1.5,1.3,1,0.9,25.9
Iowa,Moved; from abroad,0.5,0.8,0.5,0.9,1.1,0.8,0.1,0.2,0.3,0.3,28.7
Kansas,Total,2907735,137018,516934,297531,377828,387801,325660,346598,306990,211375,38.3
Kansas,Moved; within same county,7.2,9.8,6.9,16.9,12.2,5.8,4.5,3.2,2.7,4.1,25.8
Kansas,"Moved; from different county, same state",3.2,3.6,2.1,10.2,5.3,2.5,1.9,1.4,0.8,1.4,25
Kansas,Moved; from different  state,2.7,3.5,1.7,7.2,4.2,2.5,1.9,1.5,0.9,1.2,27.5
Kansas,Moved; from abroad,0.7,1.5,0.8,1.2,1.2,0.8,0.3,0.3,0.4,0.2,28
Kentucky,Total,4477307,215786,747104,407142,595668,569759,555908,581172,484578,320190,39.7
Kentucky,Moved; within same county,5.9,7.6,5.3,14.3,9.6,5.8,4.3,3.3,2.4,2.3,27.8
Kentucky,"Moved; from different county, same state",3.3,2.9,2.1,10.6,5.8,3.3,2.1,1.5,1.1,1.6,26.9
Kentucky,Moved; from different  state,2.4,2.8,2,5.5,4.1,2.4,1.6,1.6,1,0.9,28.2
Kentucky,Moved; from abroad,0.6,1.4,0.6,1.2,1,0.5,0.5,0.3,0.3,0.3,27.4
