State,,Total Population,"$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 or more",Median Income (dollars)
Alabama,Total,4183456,529331,341100,528057,463888,526346,418618,171435,649792,33522
Alabama,Moved; within same county,5.4,6.8,5.8,5.4,6.3,5.5,5.2,3.9,3.5,29482
Alabama,"Moved; from different county, same state",3.1,4.9,3.5,2.4,3.2,2.6,2.5,2.7,2.1,26618
Alabama,Moved; from different  state,2.4,4.2,2.2,1.8,1.8,2.2,1.7,2.4,2.3,29929
Alabama,Moved; from abroad,0.4,0.5,0.2,0.3,0.4,0.3,0.2,0.2,0.3,30532
Alaska,Total,587506,84828,33821,54512,57432,77312,61441,31137,148162,42874
Alaska,Moved; within same county,7.7,8.5,9.7,7.6,11.1,7.7,9.8,9.5,4.9,36293
Alaska,"Moved; from different county, same state",1.8,1.4,2.3,3.4,1.7,1.5,1.8,1.4,1.5,35550
Alaska,Moved; from different  state,4.5,3.8,4.9,4.9,5.2,5.6,4.8,2.5,3.2,37851
Alaska,Moved; from abroad,0.7,1.7,0.9,0.5,0,0.3,0.4,0.1,0.8,19230
Arizona,Total,6149973,659287,405454,651829,601372,839288,648647,287753,1206061,40563
Arizona,Moved; within same county,8.1,8.4,8.8,9.1,8.9,9.4,8.6,9.7,6.1,37432
Arizona,"Moved; from different county, same state",1.7,3,2.3,1.9,1.3,2,1.4,0.7,0.9,28400
Arizona,Moved; from different  state,3.7,5.2,3.3,3.4,3.6,3.3,3.2,3.3,3.9,37737
Arizona,Moved; from abroad,0.8,0.9,0.7,0.4,0.6,0.5,0.5,0.6,0.6,36078
Arkansas,Total,2496533,293517,206254,325084,300124,346678,243902,99174,333276,32876
Arkansas,Moved; within same county,5.9,7.1,5.7,6.6,7.7,6.1,4,6,4.1,29540
Arkansas,"Moved; from different county, same state",3.6,4.3,3.5,3.3,2.8,2.9,3.3,1.6,2.4,28208
Arkansas,Moved; from different  state,2.4,3,1.9,2.4,2.4,2.1,1.9,1.2,2.4,31375
Arkansas,Moved; from abroad,0.3,0.4,0.2,0.3,0.2,0.1,0.2,0.2,0.1,20745
California,Total,32099889,3387346,2169673,3124299,2866345,3505797,2732229,1366042,7901584,41958
California,Moved; within same county,6,6.6,6,6,6,6.2,6.5,6.7,5.9,41708
California,"Moved; from different county, same state",2.7,3.9,2.3,2.5,2.3,2.3,2.8,2.4,2.6,40418
California,Moved; from different  state,1.2,1.4,1.1,1.2,1.2,1,1.2,1.4,1.3,45079
California,Moved; from abroad,0.8,1.3,0.8,0.8,0.6,0.5,0.4,0.3,0.5,24772
Colorado,Total,4892956,480972,271878,441607,429410,612845,552264,263733,1329924,48517
Colorado,Moved; within same county,6.4,7.1,6.6,6.5,7.7,7.5,6.7,6.6,5.3,42332
Colorado,"Moved; from different county, same state",4.9,5.4,5,5.1,5,5.5,6.2,4.9,4.1,46065
Colorado,Moved; from different  state,4.2,5.1,3.7,4.8,4.9,4.1,4.3,3.4,4,44721
Colorado,Moved; from abroad,0.6,1.4,0.6,0.7,0.8,0.3,0.3,0.4,0.3,26825
Connecticut,Total,3033170,345984,181359,291506,271215,346595,291140,153976,823368,45517
Connecticut,Moved; within same county,5.5,5.3,7,6.7,5.3,6.5,4.4,5,4.7,39814
Connecticut,"Moved; from different county, same state",2,3,2.1,1.8,2,1.7,2,2.2,1.6,39072
Connecticut,Moved; from different  state,2.8,3.6,2.8,2.7,2.3,2.3,3.1,2.4,2.7,42957
Connecticut,Moved; from abroad,0.8,1.8,1.1,0.6,0.6,0.4,0.4,0.5,0.2,15023
Delaware,Total,858290,94434,56835,90858,93079,121265,84881,43186,190466,40640
Delaware,Moved; within same county,5.1,6.7,2.8,5.8,5.4,6.1,5,5.4,4,36762
Delaware,"Moved; from different county, same state",1.4,1.9,1.7,1.1,1.3,2,0.5,2,0.8,36897
Delaware,Moved; from different  state,3.8,5.6,3.2,3.1,3,3.8,4.1,3.6,3.4,40197
Delaware,Moved; from abroad,0.5,1.3,0.3,0.4,0.2,0.2,0.3,0.4,0.3,17305
District of Columbia,Total,569959,63399,25375,30335,28721,43287,41890,29221,251884,73403
District of Columbia,Moved; within same county,10.2,13.2,7.2,9,11,10.5,9.2,9.8,10.7,74073
District of Columbia,"Moved; from different county, same state",0,0,0,0,0,0,0,0,0,
District of Columbia,Moved; from different  state,9.5,15.5,15.2,8.3,8.7,9.5,12,11,6.5,51590
District of Columbia,Moved; from abroad,2,2,1.3,1.5,2.3,1.6,2.5,1.6,1.6,70055
Florida,Total,19035619,2077776,1394547,2176772,2111015,2587860,1933361,815600,3454343,37160
Florida,Moved; within same county,6.1,6.6,6.1,6,6.7,6.8,6.2,5.7,5.1,35672
Florida,"Moved; from different county, same state",3.2,4.4,2.8,2.9,2.9,3.2,2.9,3.1,2.7,35136
Florida,Moved; from different  state,2.9,3.3,2.6,2.6,2.7,2.5,2.9,3.5,3.8,41150
Florida,Moved; from abroad,1.4,2.5,1.3,1,0.6,0.7,0.8,0.5,0.6,20508
Georgia,Total,8972322,1057874,654352,982057,868545,1159601,886284,397790,1718145,38113
Georgia,Moved; within same county,4.9,5.7,5.5,5,5.3,5.4,5,4.8,3.8,35017
Georgia,"Moved; from different county, same state",4.3,5.3,4.1,3.5,4.5,4.6,4.5,4.4,3.2,35768
Georgia,Moved; from different  state,2.9,3.3,2.9,3,2.8,2.5,2.9,2.7,3.1,37699
Georgia,Moved; from abroad,0.6,0.8,0.6,0.5,0.4,0.3,0.4,0.3,0.4,26377
Hawaii,Total,1188673,125659,68406,130236,113006,156997,130394,62300,263581,41998
Hawaii,Moved; within same county,6.2,6.8,8.5,6.9,6.8,5.9,6.9,5.6,4.5,36510
Hawaii,"Moved; from different county, same state",0.6,0.8,1,0.8,0.9,0.4,0.5,0.4,0.2,26445
Hawaii,Moved; from different  state,4.2,5.1,3,4.9,4.4,3.9,3.9,4.1,4.5,41209
Hawaii,Moved; from abroad,1,1.6,0.2,1.1,0.3,1,0.3,1.6,0.7,38050
Idaho,Total,1587304,211404,117592,178667,168361,217758,171828,74001,270655,36550
